Date;Year / Année;Month / Mois;Day / Jour;Date in fraction of year / Date en fraction de l'année;Daily total sunspot number / Nombre total de taches par jour;Daily standard deviation / Déviation standard quotidienne;Number of observations / Nombre d'observations;Definitive or provisional value / Valeur définitive ou provisoire;year_month
2020-09-02;2020;09;02;2020.671;0.0;0.0;44;0;2020/09
2020-09-03;2020;09;03;2020.673;0.0;0.0;34;0;2020/09
2020-09-04;2020;09;04;2020.676;0.0;0.0;44;0;2020/09
2020-09-05;2020;09;05;2020.679;0.0;0.0;45;0;2020/09
2020-09-07;2020;09;07;2020.684;0.0;0.0;35;0;2020/09
2020-09-09;2020;09;09;2020.69;0.0;0.0;38;0;2020/09
2020-09-11;2020;09;11;2020.695;0.0;0.0;43;0;2020/09
2020-09-15;2020;09;15;2020.706;0.0;0.0;39;0;2020/09
2020-09-17;2020;09;17;2020.712;0.0;0.0;36;0;2020/09
2020-09-20;2020;09;20;2020.72;0.0;0.0;35;0;2020/09
2020-09-21;2020;09;21;2020.723;0.0;0.0;44;0;2020/09
2020-09-23;2020;09;23;2020.728;8.0;0.7;27;0;2020/09
2020-09-26;2020;09;26;2020.736;0.0;0.0;29;0;2020/09
2020-09-27;2020;09;27;2020.739;0.0;0.0;26;0;2020/09
2020-09-28;2020;09;28;2020.742;0.0;0.0;20;0;2020/09
2020-09-29;2020;09;29;2020.745;0.0;0.0;30;0;2020/09
2020-09-30;2020;09;30;2020.747;0.0;0.0;31;0;2020/09
2020-10-01;2020;10;01;2020.75;0.0;0.0;38;0;2020/10
2020-10-02;2020;10;02;2020.753;0.0;0.0;23;0;2020/10
2020-10-04;2020;10;04;2020.758;0.0;0.0;31;0;2020/10
2020-10-07;2020;10;07;2020.766;0.0;0.0;29;0;2020/10
2020-10-09;2020;10;09;2020.772;23.0;1.4;29;0;2020/10
2020-10-19;2020;10;19;2020.799;16.0;0.9;22;0;2020/10
2020-10-23;2020;10;23;2020.81;22.0;0.9;16;0;2020/10
2020-10-24;2020;10;24;2020.813;21.0;0.8;17;0;2020/10
2020-10-26;2020;10;26;2020.818;19.0;1.6;23;0;2020/10
2020-10-29;2020;10;29;2020.827;37.0;3.1;18;0;2020/10
2020-10-31;2020;10;31;2020.832;26.0;1.3;22;0;2020/10
2020-11-01;2020;11;01;2020.835;3.0;1.0;6;0;2020/11
2020-11-07;2020;11;07;2020.851;38.0;3.2;20;0;2020/11
2020-11-12;2020;11;12;2020.865;30.0;1.1;11;0;2020/11
2020-11-14;2020;11;14;2020.87;22.0;1.3;19;0;2020/11
2020-11-16;2020;11;16;2020.876;0.0;0.0;27;0;2020/11
2020-11-21;2020;11;21;2020.889;25.0;2.2;34;0;2020/11
2020-11-22;2020;11;22;2020.892;37.0;2.3;21;0;2020/11
2020-11-23;2020;11;23;2020.895;48.0;2.5;15;0;2020/11
2020-11-25;2020;11;25;2020.9;51.0;4.9;24;0;2020/11
